Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
1,2023/6/30 上午 10:30:43,-155.92000,-3.44000,-5.86000,111.00000,109.00000,105.00000,78.00000,91.00000,90.00000,23.65000,23.22000,28.81000,25.22667,155.95795,268.73611,-55.07334,108.33333,86.33333
2,2023/6/30 上午 10:30:43,-151.74000,-7.54000,-4.72000,111.00000,111.00000,109.00000,76.00000,81.00000,91.00000,23.65000,24.08000,30.53000,26.08667,151.92722,267.15530,-54.66667,110.33333,82.66667
3,2023/6/30 上午 10:30:43,-142.30000,8.58000,-3.58000,108.00000,111.00000,107.00000,80.00000,85.00000,91.00000,22.36000,24.08000,29.67000,25.37000,142.55843,273.45048,-45.76667,108.66667,85.33333
4,2023/6/30 上午 10:30:43,-154.46000,-0.48000,-3.00000,107.00000,109.00000,109.00000,80.00000,88.00000,90.00000,21.93000,23.22000,30.53000,25.22667,154.46075,269.82195,-52.64667,108.33333,86.00000
5,2023/6/30 上午 10:30:43,-154.16000,-3.50000,-7.88000,100.00000,100.00000,102.00000,76.00000,89.00000,87.00000,18.92000,19.35000,27.52000,21.93000,154.19973,268.69940,-55.18000,100.66667,84.00000
6,2023/6/30 上午 10:30:43,-147.92000,4.66000,-7.96000,106.00000,111.00000,109.00000,78.00000,92.00000,95.00000,21.50000,24.08000,30.53000,25.37000,147.99339,271.80442,-50.40667,108.66667,88.33333
7,2023/6/30 上午 10:30:43,-146.36000,11.12000,-4.28000,112.00000,110.00000,117.00000,72.00000,87.00000,94.00000,24.08000,23.65000,33.97000,27.23333,146.78183,274.34482,-46.50667,113.00000,84.33333
8,2023/6/30 上午 10:30:43,-149.82001,-5.52000,-1.88000,100.00000,104.00000,100.00000,68.00000,79.00000,86.00000,18.92000,21.07000,26.66000,22.21667,149.92166,267.88994,-52.40667,101.33333,77.66667
9,2023/6/30 上午 10:30:43,-153.12001,-2.24000,0.88000,104.00000,108.00000,105.00000,74.00000,82.00000,85.00000,20.64000,22.79000,28.81000,24.08000,153.13639,269.16188,-51.49334,105.66667,80.33333
10,2023/6/30 上午 10:30:43,-144.70000,5.78000,0.40000,104.00000,109.00000,110.00000,75.00000,87.00000,90.00000,20.64000,23.22000,30.96000,24.94000,144.81540,272.28745,-46.17333,107.66667,84.00000
11,2023/6/30 上午 10:30:43,-136.16000,-1.38000,-0.32000,104.00000,109.00000,107.00000,71.00000,92.00000,88.00000,20.64000,23.22000,29.67000,24.51000,136.16700,269.41932,-45.95333,106.66667,83.66667
12,2023/6/30 上午 10:30:43,-140.06000,4.18000,2.50000,101.00000,109.00000,108.00000,77.00000,81.00000,86.00000,19.35000,23.22000,30.10000,24.22333,140.12236,271.70945,-44.46000,106.00000,81.33333
13,2023/6/30 上午 10:30:44,-142.24000,13.56000,3.12000,107.00000,107.00000,110.00000,69.00000,79.00000,83.00000,21.93000,22.36000,30.96000,25.08333,142.88489,275.44565,-41.85333,108.00000,77.00000
14,2023/6/30 上午 10:30:44,-143.40000,9.58000,3.02000,115.00000,118.00000,112.00000,77.00000,86.00000,85.00000,25.37000,27.09000,31.82000,28.09333,143.71965,273.82203,-43.60000,115.00000,82.66667
15,2023/6/30 上午 10:30:44,-132.21999,0.00000,7.10000,110.00000,115.00000,115.00000,82.00000,81.00000,92.00000,23.22000,25.80000,33.11000,27.37667,132.21999,270.00000,-41.70666,113.33333,85.00000
16,2023/6/30 上午 10:30:44,-125.52000,-2.40000,7.72000,108.00000,104.00000,103.00000,87.00000,74.00000,84.00000,22.36000,21.07000,27.95000,23.79333,125.54295,268.90461,-40.06667,105.00000,81.66667
17,2023/6/30 上午 10:30:44,-128.00000,1.02000,3.66000,108.00000,109.00000,98.00000,72.00000,81.00000,91.00000,22.36000,23.22000,25.80000,23.79333,128.00406,270.45657,-41.10667,105.00000,81.33333
18,2023/6/30 上午 10:30:44,-119.88000,0.66000,0.78000,109.00000,116.00000,114.00000,83.00000,87.00000,89.00000,22.79000,26.23000,32.68000,27.23333,119.88181,270.31544,-39.48000,113.00000,86.33333
19,2023/6/30 上午 10:30:44,-128.55999,0.52000,-9.46000,117.00000,112.00000,110.00000,80.00000,85.00000,93.00000,26.23000,24.51000,30.96000,27.23333,128.56105,270.23175,-45.83333,113.00000,86.00000
20,2023/6/30 上午 10:30:44,-125.36000,-1.30000,-15.66000,118.00000,115.00000,112.00000,78.00000,95.00000,95.00000,26.66000,25.80000,31.82000,28.09333,125.36674,269.40586,-47.44000,115.00000,89.33333
21,2023/6/30 上午 10:30:44,-123.18000,-3.84000,-9.06000,105.00000,107.00000,99.00000,72.00000,92.00000,94.00000,21.07000,22.36000,26.23000,23.22000,123.23984,268.21445,-45.36000,103.66667,86.00000
22,2023/6/30 上午 10:30:44,-130.54000,-1.42000,-10.52000,104.00000,104.00000,106.00000,63.00000,84.00000,93.00000,20.64000,21.07000,29.24000,23.65000,130.54772,269.37677,-47.49333,104.66667,80.00000
