Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
1,2023/6/30 下午 01:21:05,98.16000,5.76000,-3.34000,96.00000,104.00000,105.00000,79.00000,86.00000,92.00000,18.06000,21.07000,30.96000,23.36333,98.32885,86.64175,33.52667,101.66667,85.66667
2,2023/6/30 下午 01:21:05,105.34000,2.68000,-1.28000,107.00000,110.00000,102.00000,87.00000,88.00000,95.00000,22.79000,23.65000,29.67000,25.37000,105.37409,88.54263,35.58000,106.33333,90.00000
3,2023/6/30 下午 01:21:05,100.66000,4.66000,-1.92000,114.00000,114.00000,107.00000,87.00000,93.00000,93.00000,25.80000,25.37000,31.82000,27.66333,100.76781,87.34942,34.46667,111.66667,91.00000
4,2023/6/30 下午 01:21:05,102.68000,0.36000,-2.32000,109.00000,115.00000,105.00000,90.00000,88.00000,95.00000,23.65000,25.80000,30.96000,26.80333,102.68063,89.79912,33.57333,109.66667,91.00000
5,2023/6/30 下午 01:21:05,100.28000,4.70000,-2.02000,105.00000,108.00000,105.00000,84.00000,88.00000,93.00000,21.93000,22.79000,30.96000,25.22667,100.39008,87.31658,34.32000,106.00000,88.33333
6,2023/6/30 下午 01:21:05,98.70000,2.24000,-1.86000,108.00000,119.00000,116.00000,84.00000,94.00000,88.00000,23.22000,27.52000,35.69000,28.81000,98.72541,88.69989,33.02667,114.33333,88.66667
7,2023/6/30 下午 01:21:05,96.74000,3.40000,-2.38000,117.00000,118.00000,114.00000,88.00000,93.00000,87.00000,27.09000,27.09000,34.83000,29.67000,96.79973,87.98713,32.58667,116.33333,89.33333
8,2023/6/30 下午 01:21:05,92.94000,4.14000,-2.82000,103.00000,102.00000,97.00000,85.00000,87.00000,91.00000,21.07000,20.21000,27.52000,22.93333,93.03216,87.44945,31.42000,100.66667,87.66667
9,2023/6/30 下午 01:21:05,94.40000,3.36000,-4.40000,124.00000,124.00000,127.00000,87.00000,89.00000,95.00000,30.10000,29.67000,40.42000,33.39667,94.45978,87.96152,31.12000,125.00000,90.33333
10,2023/6/30 下午 01:21:05,89.70000,1.28000,-3.58000,113.00000,114.00000,114.00000,82.00000,92.00000,95.00000,25.37000,25.37000,34.83000,28.52333,89.70913,89.18246,29.13333,113.66667,89.66667
