Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
1,2023/6/30 下午 05:44:24,-78.92000,1.14000,1.36000,99.00000,103.00000,102.00000,87.00000,87.00000,90.00000,18.49000,20.64000,26.23000,21.78667,78.92823,270.82758,-25.47333,101.33333,88.00000
2,2023/6/30 下午 05:44:24,-80.44000,-2.82000,1.44000,131.00000,124.00000,122.00000,91.00000,93.00000,93.00000,32.25000,29.67000,34.83000,32.25000,80.48942,267.99219,-27.27333,125.66667,92.33333
3,2023/6/30 下午 05:44:24,-81.38000,-5.02000,1.24000,106.00000,111.00000,106.00000,89.00000,83.00000,93.00000,21.50000,24.08000,27.95000,24.51000,81.53468,266.47013,-28.38667,107.66667,88.33333
4,2023/6/30 下午 05:44:24,-79.10000,2.96000,0.98000,111.00000,114.00000,109.00000,84.00000,89.00000,93.00000,23.65000,25.37000,29.24000,26.08667,79.15536,272.14306,-25.05333,111.33333,88.66667
5,2023/6/30 下午 05:44:24,-83.00000,-3.32000,-0.14000,104.00000,103.00000,104.00000,83.00000,90.00000,97.00000,20.64000,20.64000,27.09000,22.79000,83.06637,267.70939,-28.82000,103.66667,90.00000
6,2023/6/30 下午 05:44:24,-82.18000,-6.14000,-2.64000,105.00000,112.00000,107.00000,85.00000,91.00000,95.00000,21.07000,24.51000,28.38000,24.65333,82.40905,265.72714,-30.32000,108.00000,90.33333
7,2023/6/30 下午 05:44:24,-79.16000,-4.70000,-1.36000,102.00000,101.00000,104.00000,83.00000,91.00000,92.00000,19.78000,19.78000,27.09000,22.21667,79.29940,266.60214,-28.40667,102.33333,88.66667
8,2023/6/30 下午 05:44:24,-82.98000,-5.74000,-3.14000,123.00000,119.00000,115.00000,92.00000,96.00000,94.00000,28.81000,27.52000,31.82000,29.38333,83.17829,266.04297,-30.62000,119.00000,94.00000
9,2023/6/30 下午 05:44:24,-82.86000,-5.52000,-1.72000,92.00000,109.00000,99.00000,83.00000,95.00000,96.00000,15.48000,23.22000,24.94000,21.21333,83.04366,266.18868,-30.03333,100.00000,91.33333
10,2023/6/30 下午 05:44:24,-84.66000,-6.16000,-2.56000,106.00000,105.00000,105.00000,81.00000,93.00000,95.00000,21.50000,21.50000,27.52000,23.50667,84.88381,265.83840,-31.12667,105.33333,89.66667
