Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
1,2023/2/7 下午 04:05:15,-145.76000,6.80000,-1.44000,134.00000,136.00000,136.00000,84.00000,91.00000,93.00000,34.40000,34.40000,43.00000,37.26667,145.91853,272.67103,-46.80000,135.33333,89.33333
2,2023/2/7 下午 04:05:15,-145.82000,5.86000,-2.82000,113.00000,121.00000,122.00000,88.00000,88.00000,89.00000,25.37000,27.95000,36.98000,30.10000,145.93770,272.30128,-47.59333,118.66667,88.33333
3,2023/2/7 下午 04:05:15,-141.70001,5.02000,-2.04000,134.00000,134.00000,137.00000,88.00000,90.00000,95.00000,34.40000,33.54000,43.43000,37.12333,141.78890,272.02897,-46.24000,135.00000,91.00000
4,2023/2/7 下午 04:05:15,-139.76001,4.46000,-2.06000,137.00000,137.00000,136.00000,88.00000,94.00000,91.00000,35.69000,34.83000,43.00000,37.84000,139.83115,271.82779,-45.78667,136.66667,91.00000
5,2023/2/7 下午 04:05:15,-137.82001,-3.36000,-0.06000,129.00000,135.00000,126.00000,87.00000,93.00000,92.00000,32.25000,33.97000,38.70000,34.97333,137.86096,268.60343,-47.08000,130.00000,90.66667
6,2023/2/7 下午 04:05:15,-137.14000,-1.14000,0.14000,129.00000,134.00000,133.00000,89.00000,90.00000,90.00000,32.25000,33.54000,41.71000,35.83333,137.14474,269.52373,-46.04667,132.00000,89.66667
7,2023/2/7 下午 04:05:15,-133.10000,-6.34000,0.82000,124.00000,130.00000,122.00000,87.00000,89.00000,92.00000,30.10000,31.82000,36.98000,32.96667,133.25091,267.27287,-46.20667,125.33333,89.33333
8,2023/2/7 下午 04:05:15,-126.78000,-5.52000,0.34000,123.00000,132.00000,128.00000,88.00000,97.00000,95.00000,29.67000,32.68000,39.56000,33.97000,126.90011,267.50692,-43.98667,127.66667,93.33333
9,2023/2/7 下午 04:05:15,-125.56000,0.86000,-2.30000,127.00000,126.00000,124.00000,89.00000,93.00000,95.00000,31.39000,30.10000,37.84000,33.11000,125.56294,270.39243,-42.33333,125.66667,92.33333
10,2023/2/7 下午 04:05:15,-124.74000,-4.62000,-1.90000,129.00000,131.00000,129.00000,85.00000,91.00000,92.00000,32.25000,32.25000,39.99000,34.83000,124.82553,267.87890,-43.75333,129.66667,89.33333
11,2023/2/7 下午 04:05:15,-121.86000,-6.64000,0.82000,122.00000,127.00000,125.00000,82.00000,93.00000,91.00000,29.24000,30.53000,38.27000,32.68000,122.04077,266.88111,-42.56000,124.66667,88.66667
12,2023/2/7 下午 04:05:15,-119.42000,-11.26000,-5.88000,119.00000,124.00000,121.00000,82.00000,95.00000,93.00000,27.95000,29.24000,36.55000,31.24667,119.94968,264.61356,-45.52000,121.33333,90.00000
13,2023/2/7 下午 04:05:15,-115.80000,-8.86000,-3.08000,119.00000,124.00000,123.00000,89.00000,95.00000,90.00000,27.95000,29.24000,37.41000,31.53333,116.13845,265.62475,-42.58000,122.00000,91.33333
14,2023/2/7 下午 04:05:15,-116.55999,-7.60000,-3.08000,115.00000,122.00000,121.00000,86.00000,95.00000,96.00000,26.23000,28.38000,36.55000,30.38667,116.80750,266.26945,-42.41333,119.33333,92.33333
15,2023/2/7 下午 04:05:15,-114.90000,-13.34000,1.34000,125.00000,129.00000,132.00000,87.00000,90.00000,93.00000,30.53000,31.39000,41.28000,34.40000,115.67181,263.37756,-42.30000,128.66667,90.00000
16,2023/2/7 下午 04:05:15,-111.52000,-17.14000,-0.96000,128.00000,133.00000,131.00000,92.00000,95.00000,90.00000,31.82000,33.11000,40.85000,35.26000,112.82948,261.26233,-43.20667,130.66667,92.33333
17,2023/2/7 下午 04:05:15,-102.06000,-14.12000,-1.12000,127.00000,125.00000,127.00000,88.00000,96.00000,92.00000,31.39000,29.67000,39.13000,33.39667,103.03212,262.12313,-39.10000,126.33333,92.00000
18,2023/2/7 下午 04:05:15,-106.66000,-12.50000,1.66000,117.00000,124.00000,122.00000,91.00000,96.00000,91.00000,27.09000,29.24000,36.98000,31.10333,107.38997,263.31572,-39.16667,121.00000,92.66667
19,2023/2/7 下午 04:05:15,-116.54000,-18.42000,5.84000,131.00000,137.00000,134.00000,87.00000,81.00000,81.00000,33.11000,34.83000,42.14000,36.69333,117.98673,261.01828,-43.04000,134.00000,83.00000
20,2023/2/7 下午 04:05:15,-133.14000,-13.74000,0.76000,136.00000,138.00000,132.00000,90.00000,90.00000,91.00000,35.26000,35.26000,41.28000,37.26667,133.84711,264.10795,-48.70667,135.33333,90.33333
