Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
1,2023/2/7 下午 01:53:37,-157.07999,2.86000,-5.60000,114.00000,115.00000,110.00000,77.00000,88.00000,91.00000,26.66000,26.66000,31.39000,28.23667,157.10603,271.04309,-53.27333,113.00000,85.33333
2,2023/2/7 下午 01:53:37,-145.36000,-7.86000,-2.08000,102.00000,110.00000,106.00000,79.00000,85.00000,89.00000,21.50000,24.51000,29.67000,25.22667,145.57236,266.90488,-51.76667,106.00000,84.33333
3,2023/2/7 下午 01:53:37,-159.76000,0.60000,-1.10000,93.00000,101.00000,98.00000,71.00000,82.00000,88.00000,17.63000,20.64000,26.23000,21.50000,159.76113,270.21518,-53.42000,97.33333,80.33333
4,2023/2/7 下午 01:53:37,-161.56000,0.56000,-8.62000,96.00000,104.00000,100.00000,78.00000,91.00000,93.00000,18.92000,21.93000,27.09000,22.64667,161.56097,270.19860,-56.54000,100.00000,87.33333
5,2023/2/7 下午 01:53:37,-153.54000,-3.96000,-3.08000,96.00000,104.00000,98.00000,63.00000,79.00000,87.00000,18.92000,21.93000,26.23000,22.36000,153.59106,268.52259,-53.52667,99.33333,76.33333
6,2023/2/7 下午 01:53:37,-155.68000,-3.90000,-4.06000,87.00000,98.00000,100.00000,76.00000,88.00000,85.00000,15.05000,19.35000,27.09000,20.49667,155.72884,268.56496,-54.54667,95.00000,83.00000
7,2023/2/7 下午 01:53:37,-164.10000,-4.82000,-5.06000,105.00000,105.00000,104.00000,79.00000,88.00000,91.00000,22.79000,22.36000,28.81000,24.65333,164.17078,268.31757,-57.99333,104.66667,86.00000
8,2023/2/7 下午 01:53:37,-159.62000,-6.70000,-2.04000,94.00000,93.00000,87.00000,76.00000,84.00000,92.00000,18.06000,17.20000,21.50000,18.92000,159.76055,267.59644,-56.12000,91.33333,84.00000
9,2023/2/7 下午 01:53:37,-163.42000,-12.22000,-1.08000,96.00000,110.00000,98.00000,84.00000,84.00000,90.00000,18.92000,24.51000,26.23000,23.22000,163.87625,265.72357,-58.90667,101.33333,86.00000
10,2023/2/7 下午 01:53:37,-157.36001,0.48000,-1.78000,91.00000,98.00000,93.00000,68.00000,83.00000,88.00000,16.77000,19.35000,24.08000,20.06667,157.36074,270.17477,-52.88667,94.00000,79.66667
11,2023/2/7 下午 01:53:37,-155.10000,-4.18000,-4.94000,97.00000,98.00000,94.00000,78.00000,86.00000,88.00000,19.35000,19.35000,24.51000,21.07000,155.15632,268.45623,-54.74000,96.33333,84.00000
