Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
1,2023/2/7 下午 02:28:35,180.48000,6.58000,-0.30000,105.00000,98.00000,94.00000,67.00000,80.00000,86.00000,22.79000,18.92000,26.23000,22.64667,180.59991,87.91202,62.25333,99.00000,77.66667
2,2023/2/7 下午 02:28:35,183.46000,7.36000,-4.20000,90.00000,96.00000,85.00000,71.00000,80.00000,81.00000,16.34000,18.06000,22.36000,18.92000,183.60757,87.70265,62.20667,90.33333,77.33333
3,2023/2/7 下午 02:28:35,174.38000,4.30000,-0.84000,94.00000,100.00000,87.00000,74.00000,87.00000,89.00000,18.06000,19.78000,23.22000,20.35333,174.43301,88.58744,59.28000,93.66667,83.33333
4,2023/2/7 下午 02:28:35,170.56000,10.86000,0.28000,85.00000,87.00000,83.00000,79.00000,83.00000,85.00000,14.19000,14.19000,21.50000,16.62667,170.90539,86.35675,60.56667,85.00000,82.33333
5,2023/2/7 下午 02:28:35,178.64000,9.36000,-2.40000,95.00000,98.00000,101.00000,76.00000,88.00000,85.00000,18.49000,18.92000,29.24000,22.21667,178.88504,87.00068,61.86667,98.00000,83.00000
6,2023/2/7 下午 02:28:35,178.34001,2.50000,0.64000,91.00000,94.00000,92.00000,77.00000,83.00000,89.00000,16.77000,17.20000,25.37000,19.78000,178.35753,89.19687,60.49334,92.33333,83.00000
7,2023/2/7 下午 02:28:35,180.32000,6.24000,3.58000,90.00000,90.00000,84.00000,77.00000,82.00000,87.00000,16.34000,15.48000,21.93000,17.91667,180.42794,88.01806,63.38000,88.00000,82.00000
8,2023/2/7 下午 02:28:35,188.74000,2.62000,0.28000,91.00000,97.00000,94.00000,80.00000,75.00000,84.00000,16.77000,18.49000,26.23000,20.49667,188.75819,89.20470,63.88000,94.00000,79.66667
9,2023/2/7 下午 02:28:35,189.61999,7.66000,-1.52000,85.00000,93.00000,94.00000,62.00000,78.00000,77.00000,14.19000,16.77000,26.23000,19.06333,189.77465,87.68670,65.25333,90.66667,72.33333
10,2023/2/7 下午 02:28:35,195.60000,3.88000,1.70000,99.00000,91.00000,96.00000,76.00000,85.00000,85.00000,20.21000,15.91000,27.09000,21.07000,195.63848,88.86361,67.06000,95.33333,82.00000
11,2023/2/7 下午 02:28:35,195.07999,4.94000,1.04000,89.00000,94.00000,85.00000,74.00000,82.00000,90.00000,15.91000,17.20000,22.36000,18.49000,195.14253,88.54941,67.02000,89.33333,82.00000
12,2023/2/7 下午 02:28:36,189.60000,4.88000,-1.08000,85.00000,86.00000,78.00000,75.00000,77.00000,84.00000,14.19000,13.76000,19.35000,15.76667,189.66279,88.52562,64.46667,83.00000,78.66667
13,2023/2/7 下午 02:28:36,185.06000,-3.28000,-6.32000,96.00000,97.00000,94.00000,78.00000,83.00000,79.00000,18.92000,18.49000,26.23000,21.21333,185.08907,91.01540,58.48667,95.66667,80.00000
14,2023/2/7 下午 02:28:36,192.80000,-3.36000,-10.84000,94.00000,89.00000,85.00000,61.00000,72.00000,77.00000,18.06000,15.05000,22.36000,18.49000,192.82927,90.99841,59.53333,89.33333,70.00000
15,2023/2/7 下午 02:28:36,199.74000,-2.36000,-2.78000,90.00000,85.00000,77.00000,71.00000,71.00000,74.00000,16.34000,13.33000,18.92000,16.19667,199.75395,90.67694,64.86667,84.00000,72.00000
16,2023/2/7 下午 02:28:36,193.88000,13.94000,-2.66000,91.00000,91.00000,85.00000,74.00000,76.00000,81.00000,16.77000,15.91000,22.36000,18.34667,194.38050,85.88750,68.38667,89.00000,77.00000
17,2023/2/7 下午 02:28:36,185.02001,11.94000,3.24000,90.00000,88.00000,85.00000,77.00000,85.00000,86.00000,16.34000,14.62000,22.36000,17.77333,185.40487,86.30762,66.73334,87.66667,82.66667
18,2023/2/7 下午 02:28:36,181.62000,2.76000,1.42000,87.00000,88.00000,78.00000,73.00000,88.00000,75.00000,15.05000,14.62000,19.35000,16.34000,181.64097,89.12937,61.93333,84.33333,78.66667
19,2023/2/7 下午 02:28:36,198.94000,6.74000,-1.98000,82.00000,93.00000,77.00000,80.00000,73.00000,87.00000,12.90000,16.77000,18.92000,16.19667,199.05414,88.05959,67.90000,84.00000,80.00000
20,2023/2/7 下午 02:28:36,195.74000,3.28000,2.40000,86.00000,82.00000,81.00000,71.00000,80.00000,87.00000,14.62000,12.04000,20.64000,15.76667,195.76748,89.03999,67.14000,83.00000,79.33333
21,2023/2/7 下午 02:28:36,207.25999,-8.68000,1.70000,85.00000,95.00000,75.00000,78.00000,82.00000,86.00000,14.19000,17.63000,18.06000,16.62667,207.44167,92.39813,66.76000,85.00000,82.00000
22,2023/2/7 下午 02:28:36,198.00000,11.58000,-7.60000,102.00000,101.00000,100.00000,72.00000,75.00000,84.00000,21.50000,20.21000,28.81000,23.50667,198.33834,86.65288,67.32667,101.00000,77.00000
23,2023/2/7 下午 02:28:36,191.05999,7.48000,-6.64000,88.00000,101.00000,82.00000,75.00000,81.00000,76.00000,15.48000,20.21000,21.07000,18.92000,191.20636,87.75801,63.96666,90.33333,77.33333
24,2023/2/7 下午 02:28:36,193.92000,-0.22000,-9.34000,89.00000,98.00000,92.00000,77.00000,67.00000,86.00000,15.91000,18.92000,25.37000,20.06667,193.92013,90.06500,61.45333,93.00000,76.66667
25,2023/2/7 下午 02:28:36,178.91999,-3.00000,2.80000,85.00000,87.00000,80.00000,54.00000,68.00000,86.00000,14.19000,14.19000,20.21000,16.19667,178.94514,90.96060,59.57333,84.00000,69.33333
26,2023/2/7 下午 02:28:36,190.04000,11.36000,4.06000,93.00000,87.00000,89.00000,80.00000,86.00000,95.00000,17.63000,14.19000,24.08000,18.63333,190.37923,86.57911,68.48667,89.66667,87.00000
27,2023/2/7 下午 02:28:36,188.34000,9.20000,6.14000,83.00000,93.00000,86.00000,76.00000,83.00000,91.00000,13.33000,16.77000,22.79000,17.63000,188.56456,87.20345,67.89333,87.33333,83.33333
28,2023/2/7 下午 02:28:36,187.86000,2.20000,7.40000,97.00000,96.00000,98.00000,75.00000,88.00000,93.00000,19.35000,18.06000,27.95000,21.78667,187.87288,89.32905,65.82000,97.00000,85.33333
29,2023/2/7 下午 02:28:36,189.18000,5.36000,-5.08000,94.00000,98.00000,88.00000,80.00000,74.00000,71.00000,18.06000,18.92000,23.65000,20.21000,189.25592,88.37708,63.15333,93.33333,75.00000
30,2023/2/7 下午 02:28:36,183.18000,2.94000,-4.20000,90.00000,89.00000,87.00000,75.00000,83.00000,85.00000,16.34000,15.05000,23.22000,18.20333,183.20359,89.08049,60.64000,88.66667,81.00000
31,2023/2/7 下午 02:28:36,185.16001,5.08000,-1.44000,90.00000,89.00000,77.00000,76.00000,69.00000,80.00000,16.34000,15.05000,18.92000,16.77000,185.22968,88.42844,62.93334,85.33333,75.00000
32,2023/2/7 下午 02:28:36,172.72000,11.46000,-9.34000,86.00000,88.00000,80.00000,73.00000,68.00000,71.00000,14.62000,14.62000,20.21000,16.48333,173.09977,86.20398,58.28000,84.66667,70.66667
33,2023/2/7 下午 02:28:36,185.48000,8.36000,-5.62000,86.00000,96.00000,85.00000,73.00000,72.00000,77.00000,14.62000,18.06000,22.36000,18.34667,185.66830,87.41930,62.74000,89.00000,74.00000
34,2023/2/7 下午 02:28:36,186.52000,2.00000,2.70000,83.00000,88.00000,79.00000,70.00000,80.00000,91.00000,13.33000,14.62000,19.78000,15.91000,186.53073,89.38566,63.74000,83.33333,80.33333
35,2023/2/7 下午 02:28:36,187.20000,4.36000,4.30000,86.00000,88.00000,79.00000,68.00000,88.00000,84.00000,14.62000,14.62000,19.78000,16.34000,187.25076,88.66579,65.28667,84.33333,80.00000
36,2023/2/7 下午 02:28:36,195.07999,8.36000,-4.44000,94.00000,103.00000,94.00000,75.00000,81.00000,87.00000,18.06000,21.07000,26.23000,21.78667,195.25904,87.54614,66.33333,97.00000,81.00000
37,2023/2/7 下午 02:28:36,182.16000,8.18000,-5.28000,90.00000,90.00000,86.00000,73.00000,74.00000,84.00000,16.34000,15.48000,22.79000,18.20333,182.34357,87.42883,61.68667,88.66667,77.00000
38,2023/2/7 下午 02:28:36,190.88000,13.16000,-11.22000,90.00000,88.00000,78.00000,78.00000,73.00000,80.00000,16.34000,14.62000,19.35000,16.77000,191.33311,86.05605,64.27333,85.33333,77.00000
39,2023/2/7 下午 02:28:36,189.72000,15.08000,-3.12000,88.00000,86.00000,90.00000,83.00000,75.00000,87.00000,15.48000,13.76000,24.51000,17.91667,190.31838,85.45537,67.22667,88.00000,81.66667
40,2023/2/7 下午 02:28:36,188.02000,13.90000,-5.32000,97.00000,91.00000,78.00000,70.00000,75.00000,71.00000,19.35000,15.91000,19.35000,18.20333,188.53310,85.77191,65.53333,88.66667,72.00000
41,2023/2/7 下午 02:28:36,184.37999,5.56000,-7.72000,89.00000,89.00000,83.00000,67.00000,75.00000,82.00000,15.91000,15.05000,21.50000,17.48667,184.46381,88.27276,60.74000,87.00000,74.66667
42,2023/2/7 下午 02:28:36,188.86000,-12.78000,0.76000,93.00000,98.00000,84.00000,67.00000,76.00000,75.00000,17.63000,18.92000,21.93000,19.49333,189.29191,93.87126,58.94667,91.66667,72.66667
43,2023/2/7 下午 02:28:36,195.70000,1.88000,5.76000,85.00000,92.00000,86.00000,71.00000,85.00000,84.00000,14.19000,16.34000,22.79000,17.77333,195.70903,89.44960,67.78000,87.66667,80.00000
44,2023/2/7 下午 02:28:36,194.80000,8.58000,9.60000,84.00000,89.00000,79.00000,70.00000,83.00000,83.00000,13.76000,15.05000,19.78000,16.19667,194.98886,87.47803,70.99333,84.00000,78.66667
45,2023/2/7 下午 02:28:36,190.32000,11.78000,1.32000,90.00000,92.00000,83.00000,80.00000,78.00000,85.00000,16.34000,16.34000,21.50000,18.06000,190.68422,86.45815,67.80667,88.33333,81.00000
46,2023/2/7 下午 02:28:36,196.04000,18.18000,-10.72000,88.00000,97.00000,88.00000,79.00000,75.00000,74.00000,15.48000,18.49000,23.65000,19.20667,196.88117,84.70176,67.83333,91.00000,76.00000
47,2023/2/7 下午 02:28:36,190.10000,-1.96000,-12.40000,91.00000,88.00000,78.00000,76.00000,75.00000,73.00000,16.77000,14.62000,19.35000,16.91333,190.11011,90.59072,58.58000,85.66667,74.66667
48,2023/2/7 下午 02:28:36,192.04000,-7.50000,-14.04000,90.00000,98.00000,93.00000,70.00000,72.00000,71.00000,16.34000,18.92000,25.80000,20.35333,192.18640,92.23651,56.83333,93.66667,71.00000
49,2023/2/7 下午 02:28:36,194.04000,-3.06000,-3.80000,89.00000,91.00000,87.00000,72.00000,75.00000,84.00000,15.91000,15.91000,23.22000,18.34667,194.06413,90.90348,62.39333,89.00000,77.00000
50,2023/2/7 下午 02:28:36,184.50000,9.14000,3.16000,87.00000,90.00000,84.00000,76.00000,84.00000,84.00000,15.05000,15.48000,21.93000,17.48667,184.72626,87.16393,65.60000,87.00000,81.33333
51,2023/2/7 下午 02:28:36,190.86000,3.26000,4.18000,93.00000,91.00000,96.00000,70.00000,81.00000,88.00000,17.63000,15.91000,27.09000,20.21000,190.88784,89.02145,66.10000,93.33333,79.66667
52,2023/2/7 下午 02:28:36,201.76001,-1.22000,3.62000,91.00000,93.00000,77.00000,79.00000,74.00000,80.00000,16.77000,16.77000,18.92000,17.48667,201.76369,90.34645,68.05334,87.00000,77.66667
53,2023/2/7 下午 02:28:36,192.56001,2.58000,-4.44000,88.00000,91.00000,86.00000,75.00000,75.00000,89.00000,15.48000,15.91000,22.79000,18.06000,192.57729,89.23237,63.56667,88.33333,79.66667
54,2023/2/7 下午 02:28:36,187.10001,9.92000,-13.78000,88.00000,91.00000,83.00000,69.00000,67.00000,81.00000,15.48000,15.91000,21.50000,17.63000,187.36280,86.96503,61.08000,87.33333,72.33333
55,2023/2/7 下午 02:28:36,187.62000,17.62000,1.42000,89.00000,93.00000,86.00000,69.00000,86.00000,80.00000,15.91000,16.77000,22.79000,18.49000,188.44556,84.63490,68.88667,89.33333,78.33333
56,2023/2/7 下午 02:28:36,181.96000,19.12000,-10.74000,97.00000,95.00000,85.00000,72.00000,74.00000,79.00000,19.35000,17.63000,22.36000,19.78000,182.96179,84.00148,63.44667,92.33333,75.00000
57,2023/2/7 下午 02:28:36,190.12001,8.84000,-18.54000,81.00000,97.00000,89.00000,73.00000,72.00000,81.00000,12.47000,18.49000,24.08000,18.34667,190.32541,87.33784,60.14000,89.00000,75.33333
58,2023/2/7 下午 02:28:36,191.12000,1.24000,9.24000,87.00000,97.00000,88.00000,55.00000,51.00000,51.00000,15.05000,18.49000,23.65000,19.06333,191.12403,89.62827,67.20000,90.66667,52.33333
59,2023/2/7 下午 02:28:36,185.44000,3.12000,4.02000,85.00000,87.00000,76.00000,77.00000,82.00000,86.00000,14.19000,14.19000,18.49000,15.62333,185.46625,89.03610,64.19333,82.66667,81.66667
60,2023/2/7 下午 02:28:36,183.92000,-1.62000,2.70000,93.00000,95.00000,82.00000,74.00000,87.00000,84.00000,17.63000,17.63000,21.07000,18.77667,183.92714,90.50466,61.66667,90.00000,81.66667
61,2023/2/7 下午 02:28:36,199.56000,8.00000,3.60000,95.00000,100.00000,89.00000,83.00000,82.00000,86.00000,18.49000,19.78000,24.08000,20.78333,199.72029,87.70434,70.38667,94.66667,83.66667
62,2023/2/7 下午 02:28:37,191.44000,13.40000,11.80000,95.00000,94.00000,82.00000,83.00000,90.00000,81.00000,18.49000,17.20000,21.07000,18.92000,191.90840,85.99607,72.21333,90.33333,84.66667
63,2023/2/7 下午 02:28:37,184.94000,-3.04000,5.96000,90.00000,92.00000,76.00000,73.00000,86.00000,82.00000,16.34000,16.34000,18.49000,17.05667,184.96499,90.94173,62.62000,86.00000,80.33333
64,2023/2/7 下午 02:28:37,190.69999,5.34000,2.68000,84.00000,84.00000,81.00000,76.00000,70.00000,87.00000,13.76000,12.90000,20.64000,15.76667,190.77475,88.39602,66.24000,83.00000,77.66667
65,2023/2/7 下午 02:28:37,186.94000,3.58000,1.28000,92.00000,97.00000,91.00000,81.00000,88.00000,84.00000,17.20000,18.49000,24.94000,20.21000,186.97428,88.90289,63.93333,93.33333,84.33333
66,2023/2/7 下午 02:28:37,184.37999,5.66000,4.50000,91.00000,95.00000,84.00000,71.00000,83.00000,80.00000,16.77000,17.63000,21.93000,18.77667,184.46685,88.24172,64.84667,90.00000,78.00000
67,2023/2/7 下午 02:28:37,186.52000,6.78000,-1.16000,92.00000,96.00000,83.00000,64.00000,67.00000,72.00000,17.20000,18.06000,21.50000,18.92000,186.64319,87.91822,64.04667,90.33333,67.66667
68,2023/2/7 下午 02:28:37,179.05999,4.12000,-11.04000,80.00000,86.00000,73.00000,71.00000,73.00000,67.00000,12.04000,13.76000,17.20000,14.33333,179.10739,88.68191,57.38000,79.66667,70.33333
69,2023/2/7 下午 02:28:37,186.76000,8.06000,-13.22000,95.00000,99.00000,85.00000,75.00000,78.00000,75.00000,18.49000,19.35000,22.36000,20.06667,186.93384,87.52882,60.53333,93.00000,76.00000
70,2023/2/7 下午 02:28:37,198.95999,27.56000,-4.12000,83.00000,87.00000,76.00000,72.00000,63.00000,72.00000,13.33000,14.19000,18.49000,15.33667,200.85973,82.11356,74.13333,82.00000,69.00000
71,2023/2/7 下午 02:28:37,187.72000,18.84000,-3.48000,92.00000,94.00000,84.00000,81.00000,61.00000,74.00000,17.20000,17.20000,21.93000,18.77667,188.66304,84.26886,67.69333,90.00000,72.00000
72,2023/2/7 下午 02:28:37,195.24000,9.26000,-13.24000,100.00000,94.00000,84.00000,66.00000,74.00000,78.00000,20.64000,17.20000,21.93000,19.92333,195.45947,87.28456,63.75333,92.66667,72.66667
73,2023/2/7 下午 02:28:37,176.46000,8.52000,-30.38000,97.00000,101.00000,98.00000,77.00000,65.00000,75.00000,19.35000,20.21000,27.95000,22.50333,176.66557,87.23574,51.53333,98.66667,72.33333
