Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
1,2023/2/7 下午 05:11:30,112.42000,1.00000,-1.08000,103.00000,101.00000,98.00000,81.00000,90.00000,92.00000,24.51000,22.36000,29.24000,25.37000,112.42445,89.49036,37.44667,100.66667,87.66667
2,2023/2/7 下午 05:11:30,106.71999,6.02000,-1.22000,88.00000,90.00000,78.00000,82.00000,89.00000,94.00000,18.06000,17.63000,20.64000,18.77667,106.88965,86.77141,37.17333,85.33333,88.33333
3,2023/2/7 下午 05:11:30,105.54000,4.26000,-1.58000,98.00000,103.00000,95.00000,80.00000,88.00000,95.00000,22.36000,23.22000,27.95000,24.51000,105.62594,87.68858,36.07333,98.66667,87.66667
4,2023/2/7 下午 05:11:30,102.28000,5.54000,-1.04000,101.00000,99.00000,93.00000,84.00000,90.00000,95.00000,23.65000,21.50000,27.09000,24.08000,102.42992,86.89960,35.59333,97.66667,89.66667
5,2023/2/7 下午 05:11:30,99.08000,6.72000,-0.62000,88.00000,94.00000,89.00000,81.00000,94.00000,95.00000,18.06000,19.35000,25.37000,20.92667,99.30763,86.11991,35.06000,90.33333,90.00000
6,2023/2/7 下午 05:11:30,97.18000,4.06000,-0.60000,102.00000,108.00000,102.00000,81.00000,93.00000,95.00000,24.08000,25.37000,30.96000,26.80333,97.26478,87.60768,33.54667,104.00000,89.66667
7,2023/2/7 下午 05:11:30,103.94000,2.28000,-3.14000,99.00000,104.00000,99.00000,85.00000,88.00000,89.00000,22.79000,23.65000,29.67000,25.37000,103.96500,88.74338,34.36000,100.66667,87.33333
8,2023/2/7 下午 05:11:30,101.50000,5.16000,-11.44000,93.00000,94.00000,87.00000,89.00000,77.00000,84.00000,20.21000,19.35000,24.51000,21.35667,101.63107,87.08973,31.74000,91.33333,83.33333
9,2023/2/7 下午 05:11:30,101.74000,-2.40000,-7.32000,86.00000,100.00000,86.00000,89.00000,81.00000,87.00000,17.20000,21.93000,24.08000,21.07000,101.76831,91.35133,30.67333,90.66667,85.66667
10,2023/2/7 下午 05:11:31,88.16000,-3.92000,-2.14000,99.00000,102.00000,86.00000,74.00000,88.00000,95.00000,22.79000,22.79000,24.08000,23.22000,88.24711,92.54596,27.36667,95.66667,85.66667
11,2023/2/7 下午 05:11:31,91.86000,3.70000,-1.78000,90.00000,97.00000,98.00000,81.00000,88.00000,91.00000,18.92000,20.64000,29.24000,22.93333,91.93449,87.69345,31.26000,95.00000,86.66667
12,2023/2/7 下午 05:11:31,88.80000,2.74000,0.94000,102.00000,100.00000,92.00000,79.00000,93.00000,95.00000,24.08000,21.93000,26.66000,24.22333,88.84226,88.23265,30.82667,98.00000,89.00000
13,2023/2/7 下午 05:11:31,91.32000,2.34000,-0.28000,92.00000,95.00000,87.00000,73.00000,90.00000,96.00000,19.78000,19.78000,24.51000,21.35667,91.34998,88.53216,31.12667,91.33333,86.33333
14,2023/2/7 下午 05:11:31,83.90000,2.16000,0.38000,87.00000,100.00000,89.00000,87.00000,92.00000,96.00000,17.63000,21.93000,25.37000,21.64333,83.92780,88.52525,28.81333,92.00000,91.66667
15,2023/2/7 下午 05:11:31,81.48000,7.04000,1.12000,101.00000,101.00000,97.00000,82.00000,94.00000,90.00000,23.65000,22.36000,28.81000,24.94000,81.78357,85.06182,29.88000,99.66667,88.66667
16,2023/2/7 下午 05:11:31,73.26000,5.88000,3.24000,86.00000,91.00000,80.00000,80.00000,92.00000,94.00000,17.20000,18.06000,21.50000,18.92000,73.49559,85.41116,27.46000,85.66667,88.66667
17,2023/2/7 下午 05:11:31,74.66000,4.32000,1.12000,93.00000,98.00000,86.00000,86.00000,92.00000,94.00000,20.21000,21.07000,24.08000,21.78667,74.78488,86.68843,26.70000,92.33333,90.66667
18,2023/2/7 下午 05:11:31,69.68000,6.92000,0.18000,89.00000,89.00000,79.00000,86.00000,82.00000,92.00000,18.49000,17.20000,21.07000,18.92000,70.02277,84.32849,25.59333,85.66667,86.66667
