f,T0,oa0,oa1,oa2,oa3,oa4,oa5,oa6,ob1,ob2,ob3,ob4,ob5,ob6
2_07_O_p000_050_T06_Probe_1_(A1128).csv,6,-0.297267434,1.550881104,0.010609921,0.063712887,0.006108178,0.023139792,0.010153177,0,3.014660423,6.113525993,5.395664504,2.369628643,5.593781083
2_07_O_p000_100_T06_Probe_1_(A1128).csv,6,-0.190033517,5.749759828,0.041167215,0.074356404,0.008487903,0.068471154,0.014578033,0,0.835376556,5.246724775,5.229435698,3.189686172,3.860150112
2_07_O_p000_200_T06_Probe_1_(A1128).csv,6,-0.081017727,22.78772697,0.224406292,1.178245859,0.040063413,0.079857229,0.184312748,0,1.309704692,5.176645043,0.359928389,2.483477739,3.826538195
2_07_O_p000_300_T06_Probe_1_(A1128).csv,6,-0.951929424,49.95203923,0.433971872,3.101846769,0.174336132,0.17804224,0.068268644,0,5.279156442,5.382174962,3.477193164,1.544181348,3.975758797
2_07_O_p000_400_T06_Probe_1_(A1128).csv,6,-1.244686312,84.01930449,0.630297151,5.222959349,0.703591989,0.798811532,0.608095566,0,5.707652853,5.383341454,1.91609395,1.951622409,4.609827823
2_07_O_p000_500_T06_Probe_1_(A1128).csv,6,-0.127367169,118.6280125,1.880359066,9.647638733,0.710971996,0.947202207,0.616377124,0,6.234815829,5.42067822,1.415612314,3.750858774,1.52156301
2_07_O_p000_600_T06_Probe_1_(A1128).csv,6,0.457670111,159.754757,1.339513773,13.14932819,0.097698073,0.740258665,0.31356723,0,0.177706013,5.239357958,3.342923549,4.899055316,3.409675254
2_07_O_p000_700_T06_Probe_1_(A1128).csv,6,-0.588142238,202.6597566,0.868129164,17.22867157,1.483791389,0.924372435,0.29277654,0,0.089717663,5.192224547,4.57160532,4.833459703,0.074278725
2_07_O_p000_100_T09_Probe_1_(A1128).csv,9,0.232109552,1.805817374,0.023499191,0.361396022,0.008197168,0.010718071,0.011392136,0,3.349645095,6.072620402,0.470380243,5.015142938,1.78456526
2_07_O_p000_200_T09_Probe_1_(A1128).csv,9,0.344398843,10.47136388,0.219042327,1.75520714,0.088582827,0.088299122,0.027716534,0,5.131877792,5.247151783,1.522582544,2.499325921,3.79711439
2_07_O_p000_300_T09_Probe_1_(A1128).csv,9,-0.010232952,27.92006793,0.182873506,4.401651562,0.184251469,0.228151041,0.248810238,0,6.228896064,4.885894627,4.638149052,3.130993664,1.10912868
2_07_O_p000_400_T09_Probe_1_(A1128).csv,9,-0.618904922,53.61691264,0.418636327,7.943768491,0.444292616,0.786769514,0.186165702,0,0.486003469,4.688910549,4.031975585,4.259884856,0.717106611
2_07_O_p000_500_T09_Probe_1_(A1128).csv,9,-1.474132917,88.44798434,1.014544285,10.11580053,0.218424801,0.442440827,0.274478477,0,0.425596813,4.725813728,1.315360889,5.027351598,4.230327416
2_07_O_p000_600_T09_Probe_1_(A1128).csv,9,-0.892123118,124.5050515,1.834052343,14.41300227,0.56881256,2.221557878,0.487238373,0,0.484427537,4.747139748,0.859746654,4.849861692,3.255598528
2_07_O_p000_700_T09_Probe_1_(A1128).csv,9,-1.516365725,169.1596177,1.93008594,17.27234206,0.696600373,2.532756241,1.263499267,0,1.611810108,4.70955136,3.004753818,5.579937162,5.179874099
2_07_O_p000_100_T12_Probe_1_(A1128).csv,12,-0.022451687,5.305871343,0.003690617,0.468123311,0.092160575,0.031087902,0.032939809,0,3.840892479,5.981266286,4.720139152,4.450096056,0.744830988
2_07_O_p000_200_T12_Probe_1_(A1128).csv,12,0.054024793,22.90110282,0.194587434,2.831228146,0.067929639,0.058660713,0.064726905,0,1.199899882,5.866016723,1.314903985,3.245667305,4.951454412
2_07_O_p000_300_T12_Probe_1_(A1128).csv,12,-0.139706728,49.05910848,0.230574296,6.539201753,0.183795519,0.134182924,0.154883688,0,0.318337502,5.854463133,3.45809566,1.095606454,2.028077783
2_07_O_p000_400_T12_Probe_1_(A1128).csv,12,-1.066366791,82.26747653,0.819673235,10.53029041,0.623146156,1.090013159,0.184269039,0,0.102310036,5.803806923,0.602040505,0.622032507,3.776391394
2_07_O_p000_500_T12_Probe_1_(A1128).csv,12,-1.340593587,121.1390496,0.755681907,14.27421926,0.348033371,1.21416397,0.184045803,0,0.800317469,5.542148031,1.945850831,0.157085358,3.4808449
2_07_O_p000_600_T12_Probe_1_(A1128).csv,12,-1.197714518,157.02551,1.913257932,20.21126555,0.928160385,2.934289985,0.995122342,0,1.122349118,5.516038985,3.130807117,0.276484071,4.295267796
2_07_O_p000_700_T12_Probe_1_(A1128).csv,12,0.328755225,202.9048457,0.810591099,21.95966614,1.920280201,3.120088697,1.087828261,0,3.068411068,5.187513117,4.362468685,5.40432378,0.890767922
