Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
1,2023/2/7 下午 01:34:00,-80.67000,-5.86000,-3.06000,74.00000,72.00000,68.00000,68.00000,82.00000,85.00000,10.75000,9.03000,14.19000,11.32333,80.88256,265.84524,-29.86333,71.33333,78.33333
2,2023/2/7 下午 01:34:00,-86.72000,-0.57000,-6.77000,67.00000,71.00000,60.00000,66.00000,85.00000,88.00000,7.74000,8.60000,10.75000,9.03000,86.72187,269.62341,-31.35333,66.00000,79.66667
3,2023/2/7 下午 01:34:00,-85.50000,-3.94000,-7.49000,70.00000,73.00000,61.00000,68.00000,93.00000,91.00000,9.03000,9.46000,11.18000,9.89000,85.59074,267.36157,-32.31000,68.00000,84.00000
4,2023/2/7 下午 01:34:00,-74.28000,-4.60000,-3.37000,73.00000,75.00000,67.00000,61.00000,86.00000,91.00000,10.32000,10.32000,13.76000,11.46667,74.42230,266.45632,-27.41667,71.66667,79.33333
5,2023/2/7 下午 01:34:00,-80.33000,-3.98000,-2.97000,73.00000,77.00000,70.00000,77.00000,87.00000,92.00000,10.32000,11.18000,15.05000,12.18333,80.42854,267.16356,-29.09333,73.33333,85.33333
6,2023/2/7 下午 01:34:00,-80.41000,-1.29000,-0.39000,69.00000,68.00000,65.00000,65.00000,84.00000,89.00000,8.60000,7.31000,12.90000,9.60333,80.42034,269.08090,-27.36333,67.33333,79.33333
7,2023/2/7 下午 01:34:00,-70.68000,-1.62000,3.51000,68.00000,71.00000,62.00000,67.00000,74.00000,86.00000,8.17000,8.60000,11.61000,9.46000,70.69856,268.68700,-22.93000,67.00000,75.66667
8,2023/2/7 下午 01:34:00,-72.38000,-3.65000,3.44000,62.00000,69.00000,66.00000,74.00000,80.00000,83.00000,5.59000,7.74000,13.33000,8.88667,72.47197,267.11312,-24.19667,65.66667,79.00000
9,2023/2/7 下午 01:34:00,-73.59000,-3.27000,-0.37000,67.00000,63.00000,56.00000,65.00000,73.00000,89.00000,7.74000,5.16000,9.03000,7.31000,73.66261,267.45571,-25.74333,62.00000,75.66667
10,2023/2/7 下午 01:34:00,-78.55000,-4.65000,-2.71000,70.00000,76.00000,54.00000,65.00000,87.00000,83.00000,9.03000,10.75000,8.17000,9.31667,78.68751,266.61216,-28.63667,66.66667,78.33333
11,2023/2/7 下午 01:34:00,-72.88000,-4.55000,-0.51000,67.00000,77.00000,70.00000,75.00000,86.00000,86.00000,7.74000,11.18000,15.05000,11.32333,73.02189,266.42758,-25.98000,71.33333,82.33333
12,2023/2/7 下午 01:34:00,-81.28000,-0.21000,-4.46000,71.00000,69.00000,64.00000,69.00000,90.00000,93.00000,9.46000,7.74000,12.47000,9.89000,81.28027,269.85197,-28.65000,68.00000,84.00000
13,2023/2/7 下午 01:34:00,-82.60000,-5.35000,-4.64000,72.00000,68.00000,63.00000,65.00000,80.00000,89.00000,9.89000,7.31000,12.04000,9.74667,82.77308,266.29413,-30.86333,67.66667,78.00000
14,2023/2/7 下午 01:34:00,-80.04000,-5.54000,-1.03000,70.00000,79.00000,69.00000,57.00000,85.00000,80.00000,9.03000,12.04000,14.62000,11.89667,80.23150,266.04057,-28.87000,72.66667,74.00000
15,2023/2/7 下午 01:34:00,-69.92000,-2.90000,-1.67000,66.00000,64.00000,69.00000,79.00000,85.00000,87.00000,7.31000,5.59000,14.62000,9.17333,69.98011,267.62496,-24.83000,66.33333,83.66667
16,2023/2/7 下午 01:34:00,-81.01000,-1.99000,-3.83000,66.00000,72.00000,60.00000,67.00000,86.00000,87.00000,7.31000,9.03000,10.75000,9.03000,81.03444,268.59282,-28.94333,66.00000,80.00000
17,2023/2/7 下午 01:34:00,-74.02000,-4.58000,1.07000,64.00000,66.00000,54.00000,70.00000,69.00000,78.00000,6.45000,6.45000,8.17000,7.02333,74.16156,266.45933,-25.84333,61.33333,72.33333
18,2023/2/7 下午 01:34:00,-76.87000,-1.68000,0.13000,69.00000,64.00000,61.00000,73.00000,75.00000,85.00000,8.60000,5.59000,11.18000,8.45667,76.88836,268.74800,-26.14000,64.66667,77.66667
19,2023/2/7 下午 01:34:00,-74.44000,-1.08000,0.11000,82.00000,83.00000,74.00000,84.00000,89.00000,90.00000,14.19000,13.76000,16.77000,14.90667,74.44784,269.16879,-25.13667,79.66667,87.66667
20,2023/2/7 下午 01:34:00,-73.99000,-8.04000,0.12000,72.00000,69.00000,71.00000,73.00000,86.00000,86.00000,9.89000,7.74000,15.48000,11.03667,74.42554,263.79838,-27.30333,70.66667,81.66667
21,2023/2/7 下午 01:34:00,-75.10000,-4.98000,0.53000,79.00000,78.00000,76.00000,76.00000,84.00000,83.00000,12.90000,11.61000,17.63000,14.04667,75.26493,266.20618,-26.51667,77.66667,81.00000
22,2023/2/7 下午 01:34:00,-72.08000,-2.37000,-1.64000,68.00000,66.00000,57.00000,64.00000,87.00000,86.00000,8.17000,6.45000,9.46000,8.02667,72.11895,268.11679,-25.36333,63.66667,79.00000
23,2023/2/7 下午 01:34:00,-74.17000,-0.47000,-3.95000,76.00000,79.00000,64.00000,67.00000,85.00000,86.00000,11.61000,12.04000,12.47000,12.04000,74.17149,269.63693,-26.19667,73.00000,79.33333
24,2023/2/7 下午 01:34:00,-76.27000,-1.73000,-3.56000,75.00000,86.00000,73.00000,85.00000,84.00000,90.00000,11.18000,15.05000,16.34000,14.19000,76.28962,268.70061,-27.18667,78.00000,86.33333
25,2023/2/7 下午 01:34:00,-76.80000,0.51000,-2.21000,67.00000,67.00000,58.00000,77.00000,86.00000,86.00000,7.74000,6.88000,9.89000,8.17000,76.80169,270.38047,-26.16667,64.00000,83.00000
26,2023/2/7 下午 01:34:00,-75.63000,-1.90000,-1.95000,77.00000,69.00000,74.00000,64.00000,86.00000,91.00000,12.04000,7.74000,16.77000,12.18333,75.65386,268.56090,-26.49333,73.33333,80.33333
27,2023/2/7 下午 01:34:00,-74.89000,0.24000,-0.57000,65.00000,69.00000,59.00000,67.00000,76.00000,85.00000,6.88000,7.74000,10.32000,8.31333,74.89038,270.18362,-25.07333,64.33333,76.00000
28,2023/2/7 下午 01:34:00,-73.92000,-2.70000,-0.84000,70.00000,66.00000,66.00000,73.00000,80.00000,90.00000,9.03000,6.45000,13.33000,9.60333,73.96929,267.90815,-25.82000,67.33333,81.00000
29,2023/2/7 下午 01:34:00,-72.05000,2.86000,0.58000,68.00000,68.00000,67.00000,67.00000,80.00000,84.00000,8.17000,7.31000,13.76000,9.74667,72.10674,272.27314,-22.87000,67.66667,77.00000
30,2023/2/7 下午 01:34:00,-77.90000,-4.38000,1.80000,61.00000,68.00000,59.00000,67.00000,67.00000,79.00000,5.16000,7.31000,10.32000,7.59667,78.02304,266.78188,-26.82667,62.66667,71.00000
