Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
1,2023/2/7 下午 02:13:26,14.34000,-0.13000,-0.25000,62.00000,61.00000,51.00000,88.00000,95.00000,93.00000,6.45000,5.59000,8.60000,6.88000,14.34059,90.51940,4.65333,58.00000,92.00000
2,2023/2/7 下午 02:13:26,13.51000,0.21000,-0.27000,68.00000,72.00000,76.00000,85.00000,95.00000,96.00000,9.03000,10.32000,19.35000,12.90000,13.51163,89.10946,4.48333,72.00000,92.00000
3,2023/2/7 下午 02:13:26,14.75000,1.14000,-0.27000,82.00000,72.00000,78.00000,94.00000,91.00000,98.00000,15.05000,10.32000,20.21000,15.19333,14.79399,85.58050,5.20667,77.33333,94.33333
4,2023/2/7 下午 02:13:26,14.96000,0.55000,-0.27000,90.00000,90.00000,85.00000,95.00000,95.00000,96.00000,18.49000,18.06000,23.22000,19.92333,14.97011,87.89449,5.08000,88.33333,95.33333
5,2023/2/7 下午 02:13:26,15.02000,0.49000,-0.39000,76.00000,74.00000,60.00000,91.00000,95.00000,97.00000,12.47000,11.18000,12.47000,12.04000,15.02799,88.13149,5.04000,70.00000,94.33333
6,2023/2/7 下午 02:13:26,14.24000,-0.27000,-0.05000,78.00000,70.00000,65.00000,91.00000,93.00000,95.00000,13.33000,9.46000,14.62000,12.47000,14.24256,91.08624,4.64000,71.00000,93.00000
7,2023/2/7 下午 02:13:26,15.02000,0.29000,-0.30000,59.00000,64.00000,57.00000,94.00000,89.00000,97.00000,5.16000,6.88000,11.18000,7.74000,15.02280,88.89389,5.00333,60.00000,93.33333
8,2023/2/7 下午 02:13:26,14.29000,0.58000,-0.33000,74.00000,67.00000,63.00000,87.00000,93.00000,87.00000,11.61000,8.17000,13.76000,11.18000,14.30177,87.67576,4.84667,68.00000,89.00000
9,2023/2/7 下午 02:13:26,13.33000,1.19000,-0.09000,58.00000,58.00000,44.00000,87.00000,88.00000,90.00000,4.73000,4.30000,5.59000,4.87333,13.38301,84.89860,4.81000,53.33333,88.33333
10,2023/2/7 下午 02:13:26,14.38000,0.39000,0.02000,54.00000,58.00000,50.00000,87.00000,92.00000,94.00000,3.01000,4.30000,8.17000,5.16000,14.38529,88.44646,4.93000,54.00000,91.00000
11,2023/2/7 下午 02:13:26,15.12000,-1.42000,-0.21000,55.00000,64.00000,57.00000,93.00000,93.00000,93.00000,3.44000,6.88000,11.18000,7.16667,15.18653,95.36522,4.49667,58.66667,93.00000
12,2023/2/7 下午 02:13:26,14.75000,-0.34000,-0.37000,75.00000,70.00000,62.00000,92.00000,91.00000,95.00000,12.04000,9.46000,13.33000,11.61000,14.75392,91.32048,4.68000,69.00000,92.66667
13,2023/2/7 下午 02:13:26,15.63000,0.33000,-0.22000,64.00000,61.00000,57.00000,92.00000,94.00000,95.00000,7.31000,5.59000,11.18000,8.02667,15.63348,88.79048,5.24667,60.66667,93.66667
