Sample,SampleTime,V1/X/E,V2/Y/N,V3/Z/U,Amp1,Amp2,Amp3,Corr1,Corr2,Corr3,SNR1,SNR2,SNR3,MeanSNR,Speed,Direction,MeanVel,MeanAmp,MeanCorr
1,2023/2/7 下午 04:08:06,85.84000,-9.20000,-0.18000,153.00000,150.00000,151.00000,89.00000,90.00000,95.00000,45.58000,43.86000,51.60000,47.01333,86.33160,96.11739,25.48667,151.33333,91.33333
2,2023/2/7 下午 04:08:06,82.44000,-4.56000,-4.38000,152.00000,156.00000,155.00000,92.00000,89.00000,98.00000,45.15000,46.44000,53.32000,48.30333,82.56602,93.16597,24.50000,154.33333,93.00000
3,2023/2/7 下午 04:08:06,87.34000,-1.44000,-6.60000,153.00000,155.00000,153.00000,89.00000,91.00000,94.00000,45.58000,46.01000,52.46000,48.01667,87.35187,90.94457,26.43333,153.66667,91.33333
4,2023/2/7 下午 04:08:06,85.88000,4.66000,-7.38000,154.00000,157.00000,156.00000,94.00000,92.00000,92.00000,46.01000,46.87000,53.75000,48.87667,86.00634,86.89408,27.72000,155.66667,92.66667
5,2023/2/7 下午 04:08:06,79.96000,4.98000,-7.80000,148.00000,154.00000,151.00000,93.00000,89.00000,89.00000,43.43000,45.58000,51.60000,46.87000,80.11493,86.43616,25.71333,151.00000,90.33333
6,2023/2/7 下午 04:08:06,77.10000,6.08000,1.00000,152.00000,158.00000,155.00000,90.00000,97.00000,96.00000,45.15000,47.30000,53.32000,48.59000,77.33936,85.49106,28.06000,155.00000,94.33333
7,2023/2/7 下午 04:08:06,75.14000,1.00000,2.22000,149.00000,151.00000,151.00000,94.00000,97.00000,97.00000,43.86000,44.29000,51.60000,46.58333,75.14665,89.23752,26.12000,150.33333,96.00000
8,2023/2/7 下午 04:08:06,79.44000,0.30000,-0.56000,153.00000,153.00000,151.00000,92.00000,97.00000,95.00000,45.58000,45.15000,51.60000,47.44333,79.44056,89.78363,26.39333,152.33333,94.66667
9,2023/2/7 下午 04:08:06,71.38000,-5.46000,-0.44000,147.00000,149.00000,154.00000,82.00000,85.00000,91.00000,43.00000,43.43000,52.89000,46.44000,71.58852,94.37415,21.82667,150.00000,86.00000
10,2023/2/7 下午 04:08:06,73.90000,-8.34000,0.84000,150.00000,152.00000,153.00000,96.00000,95.00000,95.00000,44.29000,44.72000,52.46000,47.15667,74.36912,96.43888,22.13333,151.66667,95.33333
11,2023/2/7 下午 04:08:06,81.32000,0.86000,-0.38000,146.00000,151.00000,149.00000,90.00000,92.00000,91.00000,42.57000,44.29000,50.74000,45.86667,81.32455,89.39409,27.26667,148.66667,91.00000
12,2023/2/7 下午 04:08:06,75.20000,-0.04000,-5.04000,153.00000,156.00000,154.00000,95.00000,93.00000,94.00000,45.58000,46.44000,52.89000,48.30333,75.20001,90.03048,23.37333,154.33333,94.00000
13,2023/2/7 下午 04:08:06,76.06000,-1.92000,-5.64000,147.00000,147.00000,145.00000,96.00000,94.00000,93.00000,43.00000,42.57000,49.02000,44.86333,76.08423,91.44602,22.83333,146.33333,94.33333
14,2023/2/7 下午 04:08:06,69.78000,3.72000,-12.48000,148.00000,153.00000,149.00000,96.00000,91.00000,94.00000,43.43000,45.15000,50.74000,46.44000,69.87909,86.94843,20.34000,150.00000,93.66667
15,2023/2/7 下午 04:08:06,63.26000,3.42000,-9.72000,152.00000,154.00000,154.00000,98.00000,92.00000,95.00000,45.15000,45.58000,52.89000,47.87333,63.35238,86.90545,18.98667,153.33333,95.00000
16,2023/2/7 下午 04:08:06,67.08000,-8.88000,-4.36000,151.00000,149.00000,154.00000,93.00000,93.00000,91.00000,44.72000,43.43000,52.89000,47.01333,67.66521,97.54093,17.94667,151.33333,92.33333
17,2023/2/7 下午 04:08:06,65.28000,-9.76000,0.12000,153.00000,156.00000,155.00000,92.00000,94.00000,96.00000,45.58000,46.44000,53.32000,48.44667,66.00558,98.50330,18.54667,154.66667,94.00000
18,2023/2/7 下午 04:08:06,60.32000,-4.50000,2.90000,160.00000,153.00000,158.00000,89.00000,94.00000,96.00000,48.59000,45.15000,54.61000,49.45000,60.48762,94.26648,19.57333,157.00000,93.00000
19,2023/2/7 下午 04:08:06,55.38000,-10.94000,-2.28000,145.00000,148.00000,149.00000,90.00000,93.00000,92.00000,42.14000,43.00000,50.74000,45.29333,56.45022,101.17458,14.05333,147.33333,91.66667
20,2023/2/7 下午 04:08:06,52.12000,-2.58000,-1.66000,150.00000,150.00000,153.00000,93.00000,90.00000,92.00000,44.29000,43.86000,52.46000,46.87000,52.18382,92.83389,15.96000,151.00000,91.66667
21,2023/2/7 下午 04:08:06,55.18000,-2.68000,-7.66000,153.00000,154.00000,153.00000,98.00000,95.00000,92.00000,45.58000,45.58000,52.46000,47.87333,55.24504,92.78057,14.94667,153.33333,95.00000
22,2023/2/7 下午 04:08:06,47.96000,-9.18000,-0.92000,146.00000,152.00000,151.00000,92.00000,96.00000,90.00000,42.57000,44.72000,51.60000,46.29667,48.83067,100.83589,12.62000,149.66667,92.66667
23,2023/2/7 下午 04:08:06,53.86000,-11.80000,5.82000,149.00000,152.00000,153.00000,91.00000,98.00000,92.00000,43.86000,44.72000,52.46000,47.01333,55.13746,102.35749,15.96000,151.33333,93.66667
24,2023/2/7 下午 04:08:06,46.30000,-8.96000,2.68000,145.00000,146.00000,147.00000,93.00000,95.00000,91.00000,42.14000,42.14000,49.88000,44.72000,47.15900,100.95252,13.34000,146.00000,93.00000
25,2023/2/7 下午 04:08:06,43.72000,-17.86000,11.64000,147.00000,155.00000,152.00000,90.00000,97.00000,95.00000,43.00000,46.01000,52.03000,47.01333,47.22730,112.22044,12.50000,151.33333,94.00000
26,2023/2/7 下午 04:08:06,39.04000,-14.66000,8.80000,153.00000,155.00000,155.00000,93.00000,97.00000,95.00000,45.58000,46.01000,53.32000,48.30333,41.70176,110.58177,11.06000,154.33333,95.00000
